8.66x -> New: 8.9x | Crash at: [object Promise]x
🚀 Current: 8.9x -> New: 9.09x | Crash at: [object Promise]x
🚀 Current: 9.09x -> New: 9.29x | Crash at: [object Promise]x
🚀 Current: 9.29x -> New: 9.46x | Crash at: [object Promise]x
🚀 Current: 9.46x -> New: 9.65x | Crash at: [object Promise]x
🚀 Current: 9.65x -> New: 9.84x | Crash at: [object Promise]x
🚀 Current: 9.84x -> New: 10.08x | Crash at: [object Promise]x
🚀 Current: 10.08x -> New: 10.28x | Crash at: [object Promise]x
🚀 Current: 10.28x -> New: 10.5x | Crash at: [object Promise]x
🚀 Current: 10.5x -> New: 10.71x | Crash at: [object Promise]x
🚀 Current: 10.71x -> New: 10.96x | Crash at: [object Promise]x
🚀 Current: 10.96x -> New: 11.15x | Crash at: [object Promise]x
🚀 Current: 11.15x -> New: 11.34x | Crash at: [object Promise]x
🚀 Current: 11.34x -> New: 11.54x | Crash at: [object Promise]x
🚀 Current: 11.54x -> New: 11.72x | Crash at: [object Promise]x
🚀 Current: 11.72x -> New: 11.94x | Crash at: [object Promise]x
🚀 Current: 11.94x -> New: 12.13x | Crash at: [object Promise]x
🚀 Current: 12.13x -> New: 12.31x | Crash at: [object Promise]x
🚀 Current: 12.31x -> New: 12.53x | Crash at: [object Promise]x
🚀 Current: 12.53x -> New: 12.71x | Crash at: [object Promise]x
🚀 Current: 12.71x -> New: 12.89x | Crash at: [object Promise]x
🚀 Current: 12.89x -> New: 13.07x | Crash at: [object Promise]x
🚀 Current: 13.07x -> New: 13.29x | Crash at: [object Promise]x
🚀 Current: 13.29x -> New: 13.47x | Crash at: [object Promise]x
🚀 Current: 13.47x -> New: 13.65x | Crash at: [object Promise]x
🚀 Current: 13.65x -> New: 13.86x | Crash at: [object Promise]x
🚀 Current: 13.86x -> New: 14.06x | Crash at: [object Promise]x
🚀 Current: 14.06x -> New: 14.24x | Crash at: [object Promise]x
🚀 Current: 14.24x -> New: 14.44x | Crash at: [object Promise]x
🚀 Current: 14.44x -> New: 14.62x | Crash at: [object Promise]x
🚀 Current: 14.62x -> New: 14.86x | Crash at: [object Promise]x
🚀 Current: 14.86x -> New: 15.11x | Crash at: [object Promise]x
🚀 Current: 15.11x -> New: 15.31x | Crash at: [object Promise]x
🚀 Current: 15.31x -> New: 15.52x | Crash at: [object Promise]x
🚀 Current: 15.52x -> New: 15.71x | Crash at: [object Promise]x
🚀 Current: 15.71x -> New: 15.94x | Crash at: [object Promise]x
🚀 Current: 15.94x -> New: 16.12x | Crash at: [object Promise]x
🚀 Current: 16.12x -> New: 16.32x | Crash at: [object Promise]x
🚀 Current: 16.32x -> New: 16.53x | Crash at: [object Promise]x
🚀 Current: 16.53x -> New: 16.76x | Crash at: [object Promise]x
🚀 Current: 16.76x -> New: 16.97x | Crash at: [object Promise]x
🚀 Current: 16.97x -> New: 17.15x | Crash at: [object Promise]x
🚀 Current: 17.15x -> New: 17.39x | Crash at: [object Promise]x
🚀 Current: 17.39x -> New: 17.58x | Crash at: [object Promise]x
🚀 Current: 17.58x -> New: 17.77x | Crash at: [object Promise]x
🚀 Current: 17.77x -> New: 18.02x | Crash at: [object Promise]x
🚀 Current: 18.02x -> New: 18.21x | Crash at: [object Promise]x
🚀 Current: 18.21x -> New: 18.39x | Crash at: [object Promise]x
🚀 Current: 18.39x -> New: 18.58x | Crash at: [object Promise]x
🚀 Current: 18.58x -> New: 18.8x | Crash at: [object Promise]x
🚀 Current: 18.8x -> New: 18.99x | Crash at: [object Promise]x
🚀 Current: 18.99x -> New: 19.18x | Crash at: [object Promise]x
🚀 Current: 19.18x -> New: 19.4x | Crash at: [object Promise]x
🚀 Current: 19.4x -> New: 19.61x | Crash at: [object Promise]x
🚀 Current: 19.61x -> New: 19.83x | Crash at: [object Promise]x
🚀 Current: 19.83x -> New: 20.09x | Crash at: [object Promise]x
🚀 Current: 20.09x -> New: 20.31x | Crash at: [object Promise]x
🚀 Current: 20.31x -> New: 20.49x | Crash at: [object Promise]x
🚀 Current: 20.49x -> New: 20.67x | Crash at: [object Promise]x
🚀 Current: 20.67x -> New: 20.87x | Crash at: [object Promise]x
🚀 Current: 20.87x -> New: 21.07x | Crash at: [object Promise]x
🚀 Current: 21.07x -> New: 21.27x | Crash at: [object Promise]x
🚀 Current: 21.27x -> New: 21.46x | Crash at: [object Promise]x
🚀 Current: 21.46x -> New: 21.66x | Crash at: [object Promise]x
🚀 Current: 21.66x -> New: 21.85x | Crash at: [object Promise]x
🚀 Current: 21.85x -> New: 22.04x | Crash at: [object Promise]x
🚀 Current: 22.04x -> New: 22.21x | Crash at: [object Promise]x
🚀 Current: 22.21x -> New: 22.4x | Crash at: [object Promise]x
🚀 Current: 22.4x -> New: 22.6x | Crash at: [object Promise]x
🚀 Current: 22.6x -> New: 22.79x | Crash at: [object Promise]x
🚀 Current: 22.79x -> New: 23.03x | Crash at: [object Promise]x
🚀 Current: 23.03x -> New: 23.22x | Crash at: [object Promise]x
